Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.7,2.43852,1.1395,6.2151,5.94371
18999.7,2.4382,1.13954,6.2151,5.94378
18999.7,2.43831,1.13954,6.21513,5.94378
18999.7,2.43833,1.13955,6.21505,5.94369
18999.7,2.43826,1.13951,6.21502,5.94376
18999.7,2.43829,1.13955,6.21513,5.9438
18999.7,2.4382,1.1395,6.21487,5.9434
18999.7,2.43811,1.13948,6.21487,5.94329
18999.7,2.43822,1.13946,6.21494,5.94338
18999.7,2.43851,1.1396,6.21511,5.94386
18999.6,2.43824,1.13954,6.21491,5.94354
18999.7,2.43837,1.13956,6.2152,5.944
18999.7,2.43861,1.13962,6.21548,5.94423
18999.7,2.43859,1.13955,6.21565,5.9442
18999.7,2.43853,1.13958,6.21537,5.94388
18999.6,2.43857,1.13966,6.21561,5.94427
18999.7,2.43824,1.1395,6.21512,5.94379
